companyName,companySize,tagline,title,details,sizeCategory,located,Manager,Technical,Technical Manager,Only Technical,Only Manager,Neither,Company size
Recurate | Resale Made Easy,11-50 EMPLOYEES,Recurate enables a beautifully integrated resale marketplace directly on ecommerce stores,Brand Success Manager,Remote possible • $60k – $85k,Medium,False,1,0,0,False,True,False,35
batelle.com,11-50 EMPLOYEES,"Teach parents how to put their children to bed in under 5 minutes, within a week",Senior Sales Consultant,Remote possible • $45k – $65k,Medium,False,0,0,0,False,False,True,35
Stellic,11-50 EMPLOYEES,Powering the path to graduation,"VP, Sales",San Francisco Bay Area • Remote possible • $280k – $360k • 0.25% – 0.5%,Medium,True,0,0,0,False,False,True,35
Stellic,11-50 EMPLOYEES,Powering the path to graduation,Head of Partner Success,San Francisco • Remote possible • $110k – $170k • 0.1% – 0.4%,Medium,True,1,0,0,False,True,False,35
Stellic,11-50 EMPLOYEES,Powering the path to graduation,Head of Marketing,San Francisco • San Francisco Bay Area • Remote possible • $125k – $200k • 0.2% – 0.6%,Medium,True,1,0,0,False,True,False,35
WREX (Global B2B Marketplace),11-50 EMPLOYEES,Using AI/ML technology to transform the Real Estate industry. Join the Evolution,VP of Sales for Global B2B Marketplace (AI Tech Real Estate),New York City • London • New York • Remote possible • $250k – $330k • 1.0% – 3.0%,Medium,True,1,0,0,False,True,False,35
WREX (Global B2B Marketplace),11-50 EMPLOYEES,Using AI/ML technology to transform the Real Estate industry. Join the Evolution,Software Developer required for Global B2B Marketplace (AI/ML Tech Real Estate),California • Los Angeles • New York City • Remote possible • $80k – $150k • 1.0% – 5.0%,Medium,True,0,1,0,True,False,False,35
WREX (Global B2B Marketplace),11-50 EMPLOYEES,Using AI/ML technology to transform the Real Estate industry. Join the Evolution,Marketing Manager sought for Global B2B Marketplace (AI Tech Real Estate),Los Angeles • San Francisco • London • Remote possible • $60k – $80k • 1.0% – 3.0%,Medium,True,1,0,0,False,True,False,35
Prophecy.io,11-50 EMPLOYEES,Low Code Data Engineering,VP Marketing,Palo Alto • $250k – $320k • 0.5% – 1.0%,Medium,True,1,0,0,False,True,False,35
Prophecy.io,11-50 EMPLOYEES,Low Code Data Engineering,Director of Product Marketing,Palo Alto • $150k – $180k • 0.1% – 0.1%,Medium,True,1,1,1,False,False,False,35
Prophecy.io,11-50 EMPLOYEES,Low Code Data Engineering,Staff Data Engineer - Product Development,Palo Alto • $200k – $240k • 0.1% – 0.2%,Medium,True,0,1,0,True,False,False,35
Repool (YC S21),1-10 EMPLOYEES,Making hedge funds easy to create and join. For everyone,Head of Marketing,New York City • Brooklyn • San Francisco Bay Area • $130k – $180k • 1.0% – 1.5%,Small,True,1,0,0,False,True,False,5
Repool (YC S21),1-10 EMPLOYEES,Making hedge funds easy to create and join. For everyone,Senior Software Engineer (early hire),New York City • San Francisco Bay Area • $170k – $210k • 1.0% – 2.5%,Small,True,0,1,0,True,False,False,5
Lively,51-200 EMPLOYEES,The Modern Health Savings Account,"Director, Product Operations",San Francisco Bay Area • Remote possible • $150k – $200k • 0.06% – 0.075%,Large,True,1,1,1,False,False,False,125
Lively,51-200 EMPLOYEES,The Modern Health Savings Account,Sr. Information Security Manager,San Francisco Bay Area • Remote possible • $105k – $140k • 0.016% – 0.02%,Large,True,1,0,0,False,True,False,125
Lively,51-200 EMPLOYEES,The Modern Health Savings Account,Sr. Product Manager,San Francisco Bay Area • Remote possible • $150k – $185k • 0.044% – 0.055%,Large,True,1,0,0,False,True,False,125
Mosaic,11-50 EMPLOYEES,Mosaic manages and optimizes who is working on what and when,Design Director,New York City • Remote possible • $150k – $225k • 0.25% – 0.75%,Medium,True,1,1,1,False,False,False,35
Mosaic,11-50 EMPLOYEES,Mosaic manages and optimizes who is working on what and when,Sales Development Representative,New York City • Remote possible • $55k – $75k • 0.05% – 0.15%,Medium,True,0,0,0,False,False,True,35
Mosaic,11-50 EMPLOYEES,Mosaic manages and optimizes who is working on what and when,Lead Backend Engineer - Integrations,New York City • Remote possible • $160k – $190k,Medium,True,1,1,1,False,False,False,35
Pngme,11-50 EMPLOYEES,Unified financial data for 3.3 billion people,Senior Software Engineer - Full Stack,San Francisco,Medium,True,0,1,0,True,False,False,35
Pngme,11-50 EMPLOYEES,Unified financial data for 3.3 billion people,"Lead Engineer, SRE (Remote)",San Francisco • Remote possible • $160k – $190k,Medium,True,1,1,1,False,False,False,35
Pngme,11-50 EMPLOYEES,Unified financial data for 3.3 billion people,Senior Mobile Engineer,San Francisco,Medium,True,0,1,0,True,False,False,35
"Nav Technologies, Inc",51-200 EMPLOYEES,Help Us Do Amazing Things for Small Business in America!,"Sr. Director of Brand Strategy- Remote within the US or In Office (PA, CA, UT)",Seattle • United States • San Francisco • Remote possible • $150k – $190k,Large,True,1,1,1,False,False,False,125
